"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube (weight of tube sample)","H Tube Sample (height of snow in tube)","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Draft","IP","ID","Key"
"2018-11-28","09:09","Clear","CLR","Snow","SN","Very heavy snowfall","S10","Stellars and dendrites","sd","2","45","5.5","10.5","8.5","10","","5","5","5","0.0","0.0","0.0","0.0","0.0","0.0","NW","Calm","C","Jeff","This is a test/","fongemie","2018-11-28 09:10:50","2018-11-28 09:10:50","fongemie","fongemie","0","74.75.170.208","4427","xwrxa"
"2018-11-28","09:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fongemie","2018-11-28 09:13:19","2018-11-28 09:13:19","fongemie","fongemie","0","74.75.170.208","4428","1to9o"
"2018-12-01","05:45","Clear","CLR","","","","","","","","0","","","","","","","109","","-11.0","-11.0","-9.0","-7.5","-5.5","-7.0","","Calm","C","Merike","","","2018-12-01 06:01:47","2018-12-01 06:01:47","fongemie","","0","174.192.33.0","4429","jem4l"
"2018-12-02","05:50","Overcast","OVC","No precipitation, Mixed rain and snow","NO, RS","Light rain","RL","","","","1","","","","","","1","108","","0.0","-4.0","-7.0","-0.5","-0.5","-7.5","","Calm","C","Merike","","","2018-12-02 06:03:58","2018-12-02 06:03:58","fongemie","","0","174.192.50.193","4430","u7jc3"
"2018-12-03","05:50","Clear","CLR","","","","","","","","","","","","","","","91","17","0.0","-2.0","0.0","3.0","5.0","-7.5","","Moderate","M","Merike","½ in of rain past 24 hours","","2018-12-03 06:07:16","2018-12-03 06:07:16","fongemie","","0","174.192.24.101","4431","uspyf"
"2018-12-04","06:00","Overcast","OVC","No precipitation, Snow","NO, SN","Very light snowfall","S-1","Colums, Plates","cl, pl",".5","4","15.0","4.5","","","","4","93","","-8.0","-6.0","-2.0","-11.0","3.0","-11.0","","Light","L","Merike","-Unsure about crystal form--seemed to be a mix of needles and maybe plates, but they're tiny and hard to see (especially in the dark!)
-First time using the tube and calculating density--I may have entered the data wrong. ~4 cm on the board, weighed to 15mm of water. 4/10x100=375 kg/m^3.","","2018-12-04 06:26:34","2018-12-04 06:26:34","fongemie","","0","174.192.19.11","4432","660ks"
"2018-12-05","06:00","Clear","CLR","","","","","","","","9","11.0","9.0","","","","13","97","","-11.0","-9.0","-6.0","-14.0","-11.0","-15.0","","Light","L","Merike Youngs","-Again, unsure if I'm entering density right. 11mm weighed, with 9 cm of new snow, so 81.81 kg/m^3.
-New snow is very fluffy, and a mix of dendrites, stellar plates, and some thin plates, 1-3mm, plus some tiny flakes that seem to have no noticeable form. The dendrites and plates stand out much more!","","2018-12-05 06:23:38","2018-12-05 06:23:38","fongemie","","0","174.192.11.210","4433","kpq84"
"2018-12-05","06:00","Clear","CLR","","","","","","","","9","11.0","9.0","","","","13","97","","-11.0","-9.0","-6.0","-14.0","-11.0","-15.0","","Light","L","Merike Youngs","-Again, I'm not sure if I'm entering the density correctly. 11mm weighed from 9 cm of new snow, so 81.81kg/m^3.
-New snow is a mix of dendrites and plates, 1-3mm, surrounded by some tiny tiny flakes that have no discernible form. The stellars and dendrites stand out so much more!","","2018-12-05 06:28:57","2018-12-05 06:28:57","fongemie","","0","174.192.11.210","4434","jku01"
"2018-12-06","05:50","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Colums, Stellars and dendrites","cl, sd","2","1","","","","","","1","97","","-8.0","-8.0","-7.0","-10.0","-10.0","-14.0","","Light","L","Merike","","","2018-12-06 06:12:20","2018-12-06 06:12:20","fongemie","","0","174.192.26.144","4435","mf6xz"
"2018-12-07","06:30","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","2","7","5.5","6.5","","85","","7","100","2","-10.0","-11.0","-10.5","-9.5","-7.5","-11.0","W","Light","L","Charlotte","Temp is currently dropping. 

Small depression around snow stake may lead to inconsistencies between myself and the previous observer.","","2018-12-07 06:35:26","2018-12-07 06:35:26","fongemie","","0","174.192.29.229","4436","vw67d"
