"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube","H Tube Sample","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Draft","IP","ID","Key"
"2019-01-13","05:35","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","0.0","0","98","2","-19.0","-17.0","-15.0","-17.0","-10.5","-19.0","","","","CW","","","2019-01-13 06:24:47","2019-01-13 06:24:47","fongemie","","0","71.255.134.162","4169","2y7ap"
"2019-01-14","05:30","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","0.0","0","98","0","-17.0","-16.5","-14.0","-15.5","-9.0","-17.0","","","","CW","","","2019-01-14 06:24:35","2019-01-14 06:24:35","fongemie","","0","72.45.182.26","4170","1m2kn"
"2018-12-22","06:30","Broken","BKN","Rain","RA","Light rain","RL","","","","0","","","58.2","","0.0","0","54","","0.5","0.0","0.0","3.5","8.0","1.5","","","","CW","","","2018-12-22 07:26:41","2018-12-22 07:26:41","fongemie","","0","72.45.182.26","4171","rs8kf"
"2018-12-23","06:30","Few","FEW","No precipitation","NO","","","","","","T","","","9.7","","0.0","T","51","3","-0.5","-5.5","-3.0","-11.5","4.5","-11.5","","","","CW","","","2018-12-23 07:26:05","2018-12-23 07:26:05","fongemie","","0","71.255.134.162","4172","qqf0v"
"2018-12-24","06:30","Few","FEW","No precipitation","NO","","","","","","0","","","0","","0.0","0","51","0","-10.5","-8.0","-5.0","-11.5","-4.5","-12.5","","","","CW","","","2018-12-24 07:17:45","2018-12-24 07:17:45","fongemie","","0","72.45.182.26","4173","m6xq0"
"2018-12-25","06:30","Clear","CLR","No precipitation","NO","","","","","","3","1.0","","0.7","","","3","55","","-11.0","-8.0","-5.5","-11.0","-5.5","-11.5","","","","CW","","","2018-12-25 07:21:19","2018-12-25 07:21:19","fongemie","","0","72.45.182.26","4174","2w18t"
"2018-12-29","06:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Graupel","gp","2","T","","","19.3","","0.0","NC","55","3","1.0","0.5","0.0","0.5","6.0","-6.5","","","","CW","Snow thermometer looks like it needs to be calibrated.","","2018-12-29 07:19:52","2018-12-29 07:19:52","fongemie","","0","72.45.182.26","4175","f6j1q"
"2018-12-30","06:30","Overcast","OVC","No precipitation","NO","","","","","","1","","","1.5","","0.0","1","56","0","-8.0","-6.5","-8.0","-10.0","1.0","-15.0","","","","RP","","","2018-12-30 08:06:56","2018-12-30 08:06:56","fongemie","","0","71.255.134.162","4176","58q57"
"2018-12-31","06:30","Clear","CLR","No precipitation","NO","","","","","","T","","","","","0.0","T","55","1","-2.0","-5.0","-4.0","-6.0","-6.0","-11.0","","","","RP","","","2018-12-31 07:22:36","2018-12-31 07:22:36","fongemie","","0","72.45.182.26","4177","zyqwh"
"2019-01-01","06:30","Overcast","OVC","Mixed rain and snow","RS","Very light snowfall","S-1","","","","7","15.0","","11.6","","","NC","62","0","-2.0","-3.5","-3.5","-2.0","-1.0","-6.5","","","","CW","","","2019-01-01 07:28:54","2019-01-01 07:28:54","fongemie","","0","71.255.134.162","4178","zfvwo"
"2019-01-02","06:30","Clear","CLR","No precipitation","NO","","","","","","1","","","2.8","","0.0","2","62","1","-12.0","-10.5","-8.0","-11.5","2.5","-11.5","","","","CW","","","2019-01-02 07:27:57","2019-01-02 07:27:57","fongemie","","0","72.45.182.26","4179","psco5"
"2019-01-03","06:10","Obscured","X","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","1","9","4.0","","3.8","44","4","NC","71","0","-8.0","-9.0","-8.0","-7.5","-7.5","-13.0","","","","CW","Also observed 1 mm PL","","2019-01-03 08:07:08","2019-01-03 08:07:08","fongemie","","0","72.45.182.26","4180","prmym"
"2019-01-04","06:30","Scattered","SCT","No precipitation","NO","","","","","","3","2.0","","1.6","67","7","11","74","0","-6.0","-6.5","-6.5","-4.0","-3.0","-7.5","","","","CW","","","2019-01-04 07:23:51","2019-01-04 07:23:51","fongemie","","0","71.255.134.162","4181","t2nca"
"2019-01-06","06:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","1","","","0.4","","0.0","NC","71","1","-5.0","-4.5","-4.0","-5.0","0.0","-5.0","","","","CW","","","2019-01-06 07:25:55","2019-01-06 07:25:55","fongemie","","0","71.255.134.162","4182","ixy5s"
"2019-01-07","06:30","Clear","CLR","No precipitation","NO","","","","","","2","2.0","","4.2","100","10","3","72","1","-15.0","-9.5","-6.0","-14.0","-4.5","-16.5","","","","CW","not sure if HN24W can is accurate due to possible error in melting it down","","2019-01-07 07:21:31","2019-01-07 07:21:31","fongemie","","0","72.45.182.26","4183","z5jqm"
"2019-01-08","06:30","Obscured","X","Snow","SN","Light snowfall","S1","Needles","nd","1","2","2.5","2.0","2.5","125","13","NC","74","","-8.5","-8.0","-7.5","-8.5","-3.5","-17.5","","","","CW","","","2019-01-08 07:36:42","2019-01-08 07:36:42","fongemie","","0","72.45.182.26","4184","7op8z"
"2019-01-09","06:26","Obscured","X","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1-2","8","10.0","8.0","9.2","125","13","NC","80","0","-1.5","-2.5","-2.5","-1.0","2.0","-8.5","","Calm","C","CW","","","2019-01-09 08:46:00","2019-01-09 08:46:00","fongemie","","0","72.45.182.26","4185","kvzxm"
"2019-01-10","06:30","Obscured","X","Snow","SN","Light snowfall","S1","Ice pellets, Irregular crystals","ip, ir","1-2","21","22.0","21.0","25.2","105","11","NC","","","-9.0","-8.0","-6.5","-9.0","-1.0","-9.0","","","","CW","","","2019-01-10 08:41:50","2019-01-10 08:41:50","fongemie","","0","72.45.182.26","4186","yab5a"
"2019-01-12","05:30","Clear","CLR","No precipitation","NO","","","","","","0","","","1.6","","0.0","0","100","5","-19.0","-18.0","-15.0","-13.5","-11.0","-21.0","","","","CW","","","2019-01-12 06:37:30","2019-01-12 06:37:30","fongemie","","0","71.255.134.162","4187","zf8iw"
"2019-01-11","05:30","Clear","CLR","No precipitation","NO","","","","","","5","7.0","","6.0","140","14","37","105","","-13.0","-12.5","-10.5","-12.0","-8.5","-15.5","","","","CW","HST and HN24 boards wind affected","","2019-01-12 06:40:01","2019-01-12 06:40:01","fongemie","","0","71.255.134.162","4188","n8mrp"
"2019-01-15","05:30","Clear","CLR","No precipitation","NO","","","","","","0","","","0","","0.0","0","98","0","-13.0","-12.0","-11.0","-12.5","-6.5","-15.5","","","","CW","","","2019-01-15 06:23:32","2019-01-15 06:23:32","fongemie","","0","72.45.182.26","4189","oglq"
"2019-01-16","05:30","Few","FEW","No precipitation","NO","","","","","","1","","","T","","0.0","1","97","2","-8.0","-9.0","-9.0","-7.5","-5.5","-13.0","","","","CW","","","2019-01-16 06:24:41","2019-01-16 06:24:41","fongemie","","0","72.45.182.26","4190","6tbfx"
"2019-01-17","05:35","Clear","CLR","No precipitation","NO","","","","","","2","","","1.0","","0.0","2","95","4","-17.0","-13.0","-10.0","-16.0","-6.5","-18.0","","","","CW","","","2019-01-17 06:24:52","2019-01-17 06:24:52","fongemie","","0","72.45.182.26","4191","t4qk4"
"2019-01-18","05:30","Scattered","SCT","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","2-4","T","","","T","","0.0","NC","95","0","-12.5","-12.5","-11.0","-11.5","-9.5","-19.0","","","","CW","","","2019-01-18 06:23:31","2019-01-18 06:23:31","fongemie","","0","72.45.182.26","4192","d34km"
"2019-01-19","05:35","Clear","CLR","No precipitation","NO","","","","","","3","1.5","","1.4","60","6","3","96","2","-15.5","-10.0","-8.5","-16.0","-6.0","-16.0","","","","CW","","","2019-01-19 06:26:02","2019-01-19 06:26:02","fongemie","","0","71.255.134.162","4193","xp6o9"
"2019-01-20","05:35","Obscured","X","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","1-2","16","16.5","","16.0","106","11","NC","107","5","-12.5","-13.0","-12.0","-13.0","-11.5","-16.5","","","","CW","Also observed 1 mm ND","","2019-01-20 06:29:20","2019-01-20 06:29:20","fongemie","","0","72.45.182.26","4194","c1m5i"
"2019-01-21","05:35","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","18","30.5","","28.8","169","17","NC","121","3","-19.0","-14.5","-12.0","-19.0","-4.5","-20.5","","","","CW","","","2019-01-21 06:32:15","2019-01-21 06:32:15","fongemie","","0","72.45.182.26","4195","7th3q"
"2019-01-23","05:35","Overcast","OVC","Snow","SN","Light snowfall","S1","Irregular crystals","ir","1","0","","","0.4","","0.0","0","132","","-7.0","-12.5","-13.5","-5.5","-5.0","-16.5","","","","CW","","","2019-01-23 06:27:02","2019-01-23 06:27:02","fongemie","","0","71.255.134.162","4196","9pq7z"
"2019-01-22","05:35","Few","FEW","No precipitation","NO","","","","","","0","","","4.8","","0.0","30","132","","-18.5","-20.5","-19.0","-17.0","-17.0","-24.0","","","","CW","","","2019-01-23 06:29:38","2019-01-23 06:29:38","fongemie","","0","71.255.134.162","4197","92cd8"
"2019-01-24","05:30","Overcast","OVC","Rain","RA","Light snowfall","S1","","","","0","","","2.4","","0.0","nc","130","2","0.0","-0.5","-0.5","2.5","3.5","-5.5","","","","CW","","","2019-01-24 07:41:43","2019-01-24 07:41:43","fongemie","","0","72.45.182.26","4198","s0ahi"
"2019-01-25","05:35","Few","FEW","No precipitation","NO","","","","","","0","","","44.0","","0.0","0","118","12","-9.0","-2.0","-0.5","-9.0","5.0","-9.0","","","","CW","","","2019-01-25 06:37:37","2019-01-25 06:37:37","fongemie","","0","72.45.182.26","4199","am1ca"
"2019-01-26","05:35","Clear","CLR","No precipitation","NO","","","","","","2","1.0","","0.8","50","5","2","118","2","-15.0","-10.0","-5.0","-15.0","-7.0","-15.0","","","","CW","","","2019-01-26 06:20:51","2019-01-26 06:20:51","fongemie","","0","72.45.182.26","4200","i4et2"
"2019-01-27","05:40","Broken","BKN","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1-2","T","","","T","","0.0","NC","118","0","-12.5","-9.5","-6.5","-12.0","-11.5","-16.0","","","","CW","","","2019-01-27 06:23:45","2019-01-27 06:23:45","fongemie","","0","72.45.182.26","4201","ff9yl"
"2019-01-28","05:35","Clear","CLR","No precipitation","NO","","","","","","12","7.0","","6.0","58","6","13","130","0","-15.0","-10.0","-7.5","-15.0","-5.0","-15.0","","","","CW","","","2019-01-28 06:28:44","2019-01-28 06:28:44","fongemie","","0","71.255.134.162","4202","wshvu"
"2019-01-29","05:35","Few","FEW","No precipitation","NO","","","","","","0","","","T","","0.0","0","128","2","-17.0","-14.0","-10.0","-16.5","-10.0","-17.0","","","","CW","","","2019-01-29 06:22:31","2019-01-29 06:22:31","fongemie","","0","72.45.182.26","4203","m1t59"
"2019-01-30","05:35","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","0.5-1","24","23.0","","18.8","98","10","NC","145","7","-6.0","-7.0","-7.0","-6.0","-6.0","-18.0","","","","CW","","","2019-01-30 06:33:47","2019-01-30 06:33:47","fongemie","","0","72.45.182.26","4204","vrwji"
"2019-01-31","05:35","Scattered","SCT","No precipitation","NO","","","","","","T","","","3.2","","0.0","23","145","0","-23.5","-21.0","-18.0","-23.5","-5.5","-23.5","","","","CW","Snow on board was wind affected.","","2019-01-31 06:24:44","2019-01-31 06:24:44","fongemie","","0","71.255.134.162","4205","va8k9"
