"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube","H Tube Sample","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Draft","IP","ID","Key"
"2018-01-24","06:19","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","2","4.4","3","18.0","146.67","","NC","91","0","-6.5","-3.0","-1.0","-7.0","1.5","-7.0","W","Strong","S","SG","GP 1-2mm also observed
Drifting","","2018-01-24 06:59:50","2018-01-24 06:59:50","fongemie","","0","72.45.182.26","3675","msxzc"
"2018-01-25","06:18","Broken","BKN","No precipitation","NO","","","","","","0","","","T","0.00","","2","90","1","-14.5","-8.5","-6.0","-16.0","-7.0","-17.0","W","Moderate","M","SG","","","2018-01-25 06:49:58","2018-01-25 06:49:58","fongemie","","0","72.45.182.26","3676","q5o7i"
"2018-01-22","06:15","Overcast","OVC","No precipitation","NO","","","","","","0","","","0","0.00","","0","86","0","-4.0","-4.5","-4.5","-4.0","-4.0","-5.5","","Calm","C","SG","","","2018-01-22 06:40:47","2018-01-22 06:40:47","fongemie","","0","72.45.182.26","3677","uxmt4"
"2018-01-23","06:14","Overcast","OVC","Rain","RA","Very light rain","RV","","","","1","","","5.3","0.00","","NC","89","","0.0","-3.0","-3.0","0.5","0.5","-5.0","W","Light","L","SG","No settlement recorded because of slight drifting at snow stake.","","2018-01-23 06:49:43","2018-01-23 06:49:43","fongemie","","0","71.255.134.162","3678","evsyo"
"2018-01-20","06:17","Overcast","OVC","No precipitation","NO","","","","","","0","","","","0.00","","0","86","2","-3.0","-5.0","-5.0","-0.5","1.0","-12.0","NW","Light","L","SG","","","2018-01-20 06:45:16","2018-01-20 06:45:16","fongemie","","0","72.45.182.26","3679","52e9n"
"2018-01-21","06:16","Broken","BKN","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","0.5","T","","","T","0.00","","NC","86","0","-5.0","-4.5","-4.0","-5.5","0.5","-5.5","W","Light","L","SG","","","2018-01-21 06:44:40","2018-01-21 06:44:40","fongemie","","0","72.45.182.26","3680","cp062"
"2018-01-26","06:18","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","","0","90","0","-17.0","-12.0","-10.0","-16.0","-14.0","-20.5","SW","Moderate","M","SG","","","2018-01-26 06:43:57","2018-01-26 06:43:57","fongemie","","0","72.45.182.26","3681","nequf"
"2018-01-27","06:19","Few","FEW","No precipitation","NO","","","","","","0","","","0","0.00","","0","90","0","-5.5","-6.5","-7.0","0.5","1.0","-16.0","W","Light","L","SG","","","2018-01-27 06:48:00","2018-01-27 06:48:00","fongemie","","0","72.45.182.26","3682","fbpb8"
"2018-01-28","06:18","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","0.5-1","T","","","0.2","0.00","","NC","90","0","-1.5","-0.5","-2.0","-1.0","4.5","-1.0","W","Light","L","SG","","","2018-01-28 06:49:21","2018-01-28 06:49:21","fongemie","","0","72.45.182.26","3683","76qnr"
"2018-01-29","06:20","Few","FEW","No precipitation","NO","","","","","","0","","","0","0.00","","T","90","0","-7.5","-5.0","-4.5","-9.5","-0.5","-9.5","","Calm","C","SG","","","2018-01-29 06:45:26","2018-01-29 06:45:26","fongemie","","0","72.45.182.26","3684","8gcb4"
