,day_of_winter,depth_cm
0,1,
1,2,
2,3,
3,4,
4,5,
5,6,
6,7,
7,8,
8,9,
9,10,0.0
10,11,0.9
11,12,0.9
12,13,0.9
13,14,1.5
14,15,2.5
15,16,3.65
16,17,4.8
17,18,8.0
18,19,11.4
19,20,14.8
20,21,17.533333333333335
21,22,21.56666666666667
22,23,25.366666666666667
23,24,29.06666666666667
24,25,33.34166666666667
25,26,38.016666666666666
26,27,41.61666666666667
27,28,44.31666666666667
28,29,47.11666666666667
29,30,49.66666666666667
30,31,51.31333333333333
31,32,52.61999999999999
32,33,54.0
33,34,54.779999999999994
34,35,53.638333333333335
35,36,52.79666666666667
36,37,53.31333333333333
37,38,52.89666666666667
38,39,52.08
39,40,52.05
40,41,51.79857142857143
41,42,51.84428571428572
42,43,51.864285714285714
43,44,52.055714285714295
44,45,52.97238095238096
45,46,53.17476190476191
46,47,53.82238095238095
47,48,54.73904761904762
48,49,55.998571428571424
49,50,57.61190476190476
50,51,59.78333333333334
51,52,61.69761904761905
52,53,64.0142857142857
53,54,65.94285714285714
54,55,67.72619047619047
55,56,69.07380952380953
56,57,70.7995238095238
57,58,71.5795238095238
58,59,71.71666666666667
59,60,71.64333333333335
60,61,71.94333333333334
61,62,72.16
62,63,72.74333333333334
63,64,73.72666666666666
64,65,75.11
65,66,76.72666666666666
66,67,77.22
67,68,78.47333333333333
68,69,80.29333333333332
69,70,81.51666666666667
70,71,83.05
71,72,84.51666666666667
72,73,85.58333333333333
73,74,86.95
74,75,89.23333333333332
75,76,90.4
76,77,91.13809523809525
77,78,93.1847619047619
78,79,94.30142857142857
79,80,96.0347619047619
80,81,97.48714285714286
81,82,99.30380952380952
82,83,100.69428571428571
83,84,101.68178571428572
84,85,101.51511904761905
85,86,102.4817857142857
86,87,104.0675
87,88,104.13035714285715
88,89,105.09940476190476
89,90,106.06845238095238
90,91,107.25416666666668
91,92,108.41130952380952
92,93,109.49702380952381
93,94,110.79285714285713
94,95,111.9595238095238
95,96,113.20476190476191
96,97,114.34761904761903
97,98,115.41904761904762
98,99,116.53333333333333
99,100,117.11904761904762
100,101,117.39047619047619
101,102,117.54761904761907
102,103,117.97619047619045
103,104,118.02857142857142
104,105,118.85714285714285
105,106,119.77142857142857
106,107,120.61428571428571
107,108,121.42857142857144
108,109,122.14285714285715
109,110,122.91428571428571
110,111,125.03392857142858
111,112,126.01964285714284
112,113,126.89107142857145
113,114,127.91964285714286
114,115,129.2625
115,116,130.93392857142857
116,117,133.47678571428574
117,118,136.4767857142857
118,119,139.99107142857142
119,120,143.3625
120,121,145.95714285714286
121,122,147.55714285714288
122,123,151.64285714285714
123,124,155.75714285714284
124,125,159.34285714285713
125,126,162.34285714285713
126,127,164.18571428571425
127,128,165.6
128,129,166.12857142857143
129,130,166.6142857142857
130,131,166.82857142857142
131,132,168.87142857142857
132,133,168.25714285714284
133,134,169.12857142857143
134,135,170.98809523809524
135,136,172.65714285714284
136,137,174.36190476190478
137,138,175.93571428571425
138,139,177.5285714285714
139,140,178.6952380952381
140,141,179.2904761904762
141,142,179.8309523809524
142,143,181.2
143,144,181.21666666666664
144,145,180.18333333333334
145,146,179.5
146,147,179.12666666666667
147,148,178.60999999999999
148,149,178.45999999999998
149,150,178.37333333333333
150,151,178.18666666666667
151,152,176.64083333333332
152,153,174.28607142857143
153,154,171.55511904761906
154,155,168.03845238095238
155,156,162.25273809523807
156,157,158.37607142857144
157,158,154.80940476190477
158,159,151.28083333333333
159,160,148.2579761904762
160,161,146.53511904761905
161,162,146.68333333333334
162,163,146.86904761904762
163,164,146.82619047619048
164,165,145.92619047619047
165,166,146.81190476190477
166,167,145.42857142857142
167,168,143.97857142857143
168,169,142.07380952380953
169,170,139.9
170,171,136.67619047619047
171,172,132.7238095238095
172,173,128.5261904761905
173,174,124.55
174,175,121.96666666666667
175,176,119.5
176,177,117.35714285714286
177,178,114.24047619047619
178,179,113.97380952380952
179,180,113.3104761904762
180,181,112.27714285714288
181,182,112.31880952380952
182,183,111.82714285714287
183,184,110.5604761904762
184,185,109.15714285714287
185,186,107.56380952380952
186,187,105.05666666666666
187,188,103.37
188,189,98.72999999999999
189,190,94.13
190,191,88.75857142857143
191,192,83.13357142857143
192,193,78.26857142857143
193,194,74.00857142857143
194,195,69.40857142857142
195,196,64.1352380952381
196,197,59.82523809523809
197,198,54.5052380952381
198,199,49.3652380952381
199,200,44.99523809523809
200,201,40.82666666666667
201,202,35.97666666666667
202,203,31.316666666666663
203,204,27.026666666666664
204,205,23.38
205,206,21.313333333333333
206,207,18.106666666666666
207,208,15.680000000000001
208,209,13.160000000000002
209,210,10.309999999999999
210,211,8.55
211,212,7.05
