"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube (weight of tube sample)","H Tube Sample (height of snow in tube)","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"2022-12-21","05:40","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","45","","-10.0","-6.0","-4.0","6.3","21.0","4.3","E","Calm","C","Gerritt","","","2022-12-21 05:44:48","2022-12-21 05:44:48","","","0","216.107.219.202","22","hgs6g"
"2022-12-30","05:48","Clear","CLR","No precipitation","NO","","","","","","0","0.0","0.0","0.0","","","0","42","0","","","","2.0","6.0","-5.0","N","","","Anthony Brezzo","","","2022-12-30 05:51:47","2022-12-30 05:51:47","","","0","216.107.219.202","49","gpabe"
"2022-12-29","05:52","Overcast","OVC","No precipitation","NO","","","","","","1","","","","","","1","17","0","","","","0.0","0.0","-25.0","","","","Anthony Brezzo","Light and variable winds

Snow can was full and seems unattended? Did not measure density of new cm of snow","","2022-12-29 05:59:54","2022-12-29 05:59:54","","","0","216.107.219.202","46","v95s1"
"2022-12-28","05:30","Overcast","OVC","No precipitation","NO","","","","","","1","0.5","1.3","","38","4","2","43","","-11.0","-7.5","-5.5","-11.0","-11.0","-13.5","W","Light","L","Eli Hanschka","Surface snow grains: fragmented/irregular crystals w/ some original crystals of stellar dendrites, size: 1-3mm","","2022-12-28 05:56:58","2022-12-28 05:56:58","","","0","107.77.226.143","43","9dikw"
"2022-12-27","05:32","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites, Irregular crystals","sd, ir","2-4","T","0.1","0.2","","50","5","NC","42","0","-11.0","-7.5","-4.0","-13.0","-13.0","-15.5","W","Moderate","M","Eli Hanschka","","","2022-12-27 05:53:24","2022-12-27 05:53:24","","","0","107.77.226.143","40","9snvx"
"2022-12-26","05:30","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Needles, Stellars and dendrites","nd, sd","2-3","T","0.1","0.2","","50","5","NC","42","0","-13.5","-9.5","-6.0","-15.0","-14.5","-17.5","W","Moderate","M","Eli Hanschka","","","2022-12-26 05:53:04","2022-12-26 05:53:04","","","0","107.77.226.24","37","huof1"
"2022-12-25","05:20","Few","FEW","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","T","","","","","","NC","42","0","-15.0","-11.0","-5.0","-18.5","-15.0","-20.0","W","Moderate","M","Eli Hanschka","The trace amount of snow on HN24 was too little to get meaningful SWE/density numbers.","","2022-12-25 06:00:29","2022-12-25 06:00:29","","","0","107.77.225.183","35","vw4uc"
"2022-12-24","05:30","Broken","BKN","Snow","SN","Very light snowfall","S-1","Plates, Irregular crystals","pl, ir","1","3","3.7","3.0","","123","12","17","42","16","-15.5","-7.0","-2.0","-19.0","3.0","-20.0","W","Moderate","M","Eli Hanschka","","","2022-12-24 06:03:00","2022-12-24 06:03:00","","","0","107.77.225.183","32","t67cr"
"2022-12-23","05:27","Obscured","X","Snow","SN","Moderate snowfall","S2","Needles, Irregular crystals","nd, ir","2","20","29.5","19.6","","150","15","NC","58","0","-2.0","-3.0","-4.0","-3.5","-3.0","-14.5","S","Strong","S","Eli Hanschka","","","2022-12-23 06:00:55","2022-12-23 06:00:55","","","0","107.77.225.183","29","f84wp"
"2022-12-22","05:41","Clear","CLR","No precipitation","NO","","","","","","","","","","","","","43","","-9.0","-6.0","-4.0","13.8","22.8","5.9","","Calm","C","Gerritt","Too calm to get a wind direction. Also it was clear a few minutes ago but a blanket of cloud might be moving in","","2022-12-22 05:45:07","2022-12-22 05:45:07","","","0","216.107.219.202","26","dot1z"
"2022-12-11","05:45","Clear","CLR","No precipitation","NO","","","","","","0","","","0.0","","","NC","10","","-10.0","-5.0","","-12.0","","","SW","Calm","C","Eli Hanschka","Temp min/max will be collected tomorrow after resetting the thermometer for the first time today.","","2022-12-11 06:07:24","2022-12-11 06:07:24","","","0","216.107.219.202","3","o1s7s"
"2022-12-20","05:58","Clear","CLR","No precipitation","NO","","","","","","3","2.0","3.0","","","","","54","","-9.0","-5.0","-4.0","18.1","18.1","11.4","E","Moderate","M","Gerritt","","","2022-12-20 06:02:13","2022-12-20 06:02:13","","","0","216.107.219.202","20","6df00"
"2022-12-19","05:58","Obscured","X","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","1","4m","","0.4","","","","","50","","-10.0","-5.0","-4.0","12.7","17.2","12.0","NE","Strong","S","Gerritt","There was very little on the HN24 snowboard, I wasn’t sure if I should record it as trace but I figured more information is better than less, it was about 4mm of snow. I did try to weigh it but it was too light to make a difference.","","2022-12-19 05:58:23","2022-12-19 05:58:23","","","0","216.107.219.202","18","stooe"
"2022-12-18","05:30","Scattered","SCT","Snow","SN","Very light snowfall","S-1","Needles, Irregular crystals","nd, ir","1.5","9","11.0","9.2","","120","12","30","50","","-8.5","-6.5","-5.0","-9.0","-3.0","-9.5","NW","Moderate","M","Eli Hanschka","Precip. of very light snow was difficult to distinguish from blowing snow which was present.","","2022-12-18 06:02:55","2022-12-18 06:02:55","","","0","107.77.223.162","16","jxdpy"
"2022-12-17","06:04","Obscured","X","Snow","SN","Moderate snowfall","S2","Needles, Irregular crystals","nd, ir","1.5","41","18.0","17.0","","","","","55","","-5.0","-4.0","","-5.0","-4.0","-6.0","E","Calm","C","Gerritt","","","2022-12-17 06:08:56","2022-12-17 06:50:36","","jeff","0","216.107.219.202","13","ng2uh"
